Name,Image URL,Image Name
NITROCHARGE,https://www.footballbootsdb.com/logos/boots/18/3.jpg?w=250,Football Shoes Images/55.jpg
MAESTRO 200,https://www.footballbootsdb.com/logos/boots/263/3.jpg?w=250,Football Shoes Images/56.jpg
FUTURE 2.1 NETFIT,https://www.footballbootsdb.com/logos/boots/258/3.jpg?w=250,Football Shoes Images/57.jpg
REBULA 2 V1,https://www.footballbootsdb.com/logos/boots/259/3.jpg?w=250,Football Shoes Images/58.jpg
COPA 18.1,https://www.footballbootsdb.com/logos/boots/228/3.jpg?w=250,Football Shoes Images/59.jpg
TIEMPO LEGEND V,https://www.footballbootsdb.com/logos/boots/8/3.jpg?w=250,Football Shoes Images/60.jpg
MORELIA II,https://www.footballbootsdb.com/logos/boots/16/3.jpg?w=250,Football Shoes Images/61.jpg
SOLISTA,https://www.footballbootsdb.com/logos/boots/42/3.jpg?w=250,Football Shoes Images/62.jpg
TIEMPO LEGEND IV,https://www.footballbootsdb.com/logos/boots/61/3.jpg?w=250,Football Shoes Images/63.jpg
BLACKOUT,https://www.footballbootsdb.com/logos/boots/65/3.jpg?w=250,Football Shoes Images/64.jpg
GLITCH,https://www.footballbootsdb.com/logos/boots/212/3.jpg?w=250,Football Shoes Images/65.jpg
EVOSPEED 17 SL-S,https://www.footballbootsdb.com/logos/boots/193/3.jpg?w=250,Football Shoes Images/66.jpg
ACE 16.1 PRIMEKNIT,https://www.footballbootsdb.com/logos/boots/154/3.jpg?w=250,Football Shoes Images/67.jpg
ACE 16.1 LEATHER,https://www.footballbootsdb.com/logos/boots/156/3.jpg?w=250,Football Shoes Images/68.jpg
F50 ADIZERO 2015,https://www.footballbootsdb.com/logos/boots/2/3.jpg?w=250,Football Shoes Images/69.jpg
PREDATOR INSTINCT,https://www.footballbootsdb.com/logos/boots/1/3.jpg?w=250,Football Shoes Images/70.jpg
SUPER COPA,https://www.footballbootsdb.com/logos/boots/29/3.jpg?w=250,Football Shoes Images/71.jpg
TEKELA 1.0,https://www.footballbootsdb.com/logos/boots/243/3.jpg?w=250,Football Shoes Images/72.jpg
MERCURIAL VAPOR XI TC,https://www.footballbootsdb.com/logos/boots/220/3.jpg?w=250,Football Shoes Images/73.jpg
ACE 17.1 LEATHER,https://www.footballbootsdb.com/logos/boots/191/3.jpg?w=250,Football Shoes Images/74.jpg
EVOSPEED SL II,https://www.footballbootsdb.com/logos/boots/165/3.jpg?w=250,Football Shoes Images/75.jpg
MEDUSAE,https://www.footballbootsdb.com/logos/boots/162/3.jpg?w=250,Football Shoes Images/76.jpg
STADIO,https://www.footballbootsdb.com/logos/boots/27/3.jpg?w=250,Football Shoes Images/77.jpg
700 PRO,https://www.footballbootsdb.com/logos/boots/43/3.jpg?w=250,Football Shoes Images/78.jpg
UX-2,https://www.footballbootsdb.com/logos/boots/128/3.jpg?w=250,Football Shoes Images/79.jpg
X 16.1 LEATHER,https://www.footballbootsdb.com/logos/boots/182/3.jpg?w=250,Football Shoes Images/80.jpg
MEDUSAE II,https://www.footballbootsdb.com/logos/boots/245/3.jpg?w=250,Football Shoes Images/81.jpg
